wavelen(SW)	freq(SW)	N60	WIDE-S	wavelen(LW)	freq(LW)	WIDE-L	N160
52.279	5.7345e+12	0.17287	0.076686	124.45	2.4089e+12	0.57266	0.0000
51.732	5.7950e+12	0.075000	0.033348	123.67	2.4241e+12	0.58414	0.0000
51.197	5.8556e+12	0.042646	0.015353	122.91	2.4392e+12	0.53830	0.0000
50.673	5.9162e+12	0.038655	0.012795	122.15	2.4543e+12	0.48827	0.0000
50.160	5.9767e+12	0.068763	0.023313	121.40	2.4695e+12	0.43748	0.0000
49.656	6.0373e+12	0.10792	0.040031	120.66	2.4846e+12	0.47294	0.0000
49.163	6.0979e+12	0.13457	0.043642	119.93	2.4998e+12	0.45735	0.0000
48.680	6.1584e+12	0.14724	0.056345	119.21	2.5149e+12	0.44562	0.0000
48.206	6.2190e+12	0.12658	0.055371	118.49	2.5300e+12	0.42094	0.0000
47.741	6.2795e+12	0.12644	0.046041	117.79	2.5452e+12	0.39194	0.0000
47.285	6.3401e+12	0.11820	0.046049	117.09	2.5603e+12	0.40422	0.0000
46.837	6.4007e+12	0.10629	0.043024	116.40	2.5755e+12	0.37329	0.0000
46.398	6.4612e+12	0.082091	0.033447	115.72	2.5906e+12	0.36515	0.0000
45.967	6.5218e+12	0.041433	0.019263	115.05	2.6058e+12	0.30962	0.0000
45.544	6.5824e+12	0.022333	0.010623	114.38	2.6209e+12	0.21535	0.0000
45.129	6.6429e+12	0.0095341	0.0069675	113.73	2.6360e+12	0.17053	0.0000
44.721	6.7035e+12	0.0036675	0.0043461	113.08	2.6512e+12	0.15703	0.0000
44.321	6.7641e+12	0.0000	0.0028245	112.44	2.6663e+12	0.10597	0.0000
43.928	6.8246e+12	0.0000	0.0021504	111.80	2.6815e+12	0.059310	0.0000
43.541	6.8852e+12	0.0017489	0.0014241	111.17	2.6966e+12	0.031758	0.0000
43.162	6.9458e+12	0.00047231	0.0010063	110.55	2.7117e+12	0.016922	0.0000
42.788	7.0063e+12	0.0018516	0.00068078	109.94	2.7269e+12	0.0084191	0.0000
42.422	7.0669e+12	0.00023885	0.00051057	109.33	2.7420e+12	0.0037752	0.0000
42.061	7.1275e+12	0.00066674	0.00035851	108.73	2.7572e+12	0.0014545	0.0000
41.707	7.1880e+12	0.0000	0.00029053	108.14	2.7723e+12	0.00069576	0.0000
41.358	7.2486e+12	0.00074967	0.00019216	107.55	2.7874e+12	0.00049086	0.0000
41.016	7.3092e+12	0.00026729	0.00011850	106.97	2.8026e+12	0.00025060	0.0000
40.679	7.3697e+12	0.00018774	8.9890e-05	106.39	2.8177e+12	0.00010367	0.0000
40.347	7.4303e+12	8.4020e-05	6.6521e-05	105.83	2.8329e+12	5.2249e-05	0.0000
40.021	7.4909e+12	0.0000	0.0000	105.26	2.8480e+12	0.0000	0.0000
